species_en,species_scientific,species_de
Long-tailed Sylph,Aglaiocercus kingii,Himmelssylphe
Black-billed Shrike-Tyrant,Agriornis montanus,Schwarzschnabel-Hakentyrann
Chestnut-cheeked Starling,Agropsar philippensis,Violettrückenstar
Daurian Starling,Agropsar sturninus,Mongolenstar
Green Catbird,Ailuroedus crassirostris,Grünlaubenvogel
Spotted Catbird,Ailuroedus maculosus,Tüpfellaubenvogel
Oaxaca Sparrow,Aimophila notosticta,Oaxacaammer
Rusty Sparrow,Aimophila rufescens,Rostrückenammer
Rufous-crowned Sparrow,Aimophila ruficeps,Rostscheitelammer
Mandarin Duck,Aix galericulata,Mandarinente
Wood Duck,Aix sponsa,Brautente
Goeldi's Antbird,Akletos goeldii,Goeldiameisenvogel
White-shouldered Antbird,Akletos melanoceps,Weißschulter-Ameisenvogel
Greater Hoopoe-Lark,Alaemon alaudipes,Wüstenläuferlerche
Eurasian Skylark,Alauda arvensis,Feldlerche
Oriental Skylark,Alauda gulgula,Orientfeldlerche
Asian Short-toed Lark,Alaudala cheleensis,Salzlerche
Turkestan Short-toed Lark,Alaudala heinei,Turkestanlerche
Sand Lark,Alaudala raytal,Uferlerche
Mediterranean Short-toed Lark,Alaudala rufescens,Stummellerche
Somali Short-toed Lark,Alaudala somalica,Halsfleckenlerche
Razorbill,Alca torda,Tordalk
Common Kingfisher,Alcedo atthis,Eisvogel
Blue-eared Kingfisher,Alcedo meninting,Menintingeisvogel
Brown Fulvetta,Alcippe brunneicauda,Braunschwanz-Zweigdrossling
Yunnan Fulvetta,Alcippe fratercula,Yunnan-Zweigdrossling
Huet's Fulvetta,Alcippe hueti,Huetzweigdrossling
Morrison's Fulvetta,Alcippe morrisonia,Grauwangen-Zweigdrossling
Nepal Fulvetta,Alcippe nipalensis,Nepalzweigdrossling
Mountain Fulvetta,Alcippe peracensis,Malaienzweigdrossling
Brown-cheeked Fulvetta,Alcippe poioicephala,Graukopf-Zweigdrossling
Javan Fulvetta,Alcippe pyrrhoptera,Rotrücken-Zweigdrossling
Rufous-naped Bellbird,Aleadryas rufinucha,Oliv-Haubendickkopf
Barbary Partridge,Alectoris barbara,Felsenhuhn
Chukar,Alectoris chukar,Chukarhuhn
Rock Partridge,Alectoris graeca,Steinhuhn
Red-legged Partridge,Alectoris rufa,Rothuhn
Australian Brushturkey,Alectura lathami,Australbuschhuhn
Fire-crested Alethe,Alethe castanea,Kastanienbraunschwanz
White-tailed Alethe,Alethe diademata,Diadembraunschwanz
Yellow-faced Parrot,Alipiopsitta xanthops,Goldbauchamazone
Australian King-Parrot,Alisterus scapularis,Königssittich
Scaly-breasted Thrasher,Allenia fusca,Schuppenspottdrossel
Allard's Ground Cricket,Allonemobius allardi,Allard's Ground Cricket
Tinkling Ground Cricket,Allonemobius tinnulus,Tinkling Ground Cricket
Walker's Ground Cricket,Allonemobius walkeri,Walker's Ground Cricket
Finsch's Bulbul,Alophoixus finschii,Finschbülbül
White-throated Bulbul,Alophoixus flaveolus,Weißkehlbülbül
Ochraceous Bulbul,Alophoixus ochraceus,Ockerbauchbülbül
Puff-throated Bulbul,Alophoixus pallidus,Braunhaubenbülbül
Yellow-bellied Bulbul,Alophoixus phaeocephalus,Schwefelbülbül
Gray-cheeked Bulbul,Alophoixus tephrogenys,Grauwangenbülbül
Tawny-headed Swallow,Alopochelidon fucata,Fuchsschwalbe
Egyptian Goose,Alopochen aegyptiaca,Nilgans
Mexican Black Howler Monkey,Alouatta pigra,Mexican Black Howler Monkey
Lesser Ground-Robin,Amalocichla incerta,Zwergpittaschnäpper
Red Avadavat,Amandava amandava,Tüpfelastrild
Uniform Crake,Amaurolimnas concolor,Einfarbralle
