species_en,species_scientific,species_de
Glaucous Gull,Larus hyperboreus,Eismöwe
Yellow-footed Gull,Larus livens,Gelbfußmöwe
Great Black-backed Gull,Larus marinus,Mantelmöwe
Yellow-legged Gull,Larus michahellis,Mittelmeermöwe
Western Gull,Larus occidentalis,Westmöwe
Slaty-backed Gull,Larus schistisagus,Kamtschatkamöwe
Japanese Robin,Larvivora akahige,Rostkehlnachtigall
Indian Blue Robin,Larvivora brunnea,Orangenachtigall
Siberian Blue Robin,Larvivora cyane,Blaunachtigall
Ryukyu Robin,Larvivora komadori,Samtkehlnachtigall
Rufous-tailed Robin,Larvivora sibilans,Schwirrnachtigall
White-throated Crake,Laterallus albigularis,Weißkehlralle
Gray-breasted Crake,Laterallus exilis,Amazonasralle
Black Rail,Laterallus jamaicensis,Schieferralle
Red-and-white Crake,Laterallus leucopyrrhus,Weißbrustralle
Rusty-flanked Crake,Laterallus levraudi,Venezuelaralle
Rufous-sided Crake,Laterallus melanophaius,Rothalsralle
Ruddy Crake,Laterallus ruber,Rubinralle
Rufous-faced Crake,Laterallus xenopterus,Rotgesichtralle
Swift Parrot,Lathamus discolor,Schwalbensittich
Euler's Flycatcher,Lathrotriccus euleri,Eulerschnäppertyrann
Gray-breasted Flycatcher,Lathrotriccus griseipectus,Graubrust-Schnäppertyrann
Swamp Grass Babbler,Laticilla cinerascens,Sumpfpriniendrossling
Piratic Flycatcher,Legatus leucophaius,Kurzschnabel-Maskentyrann
Yellow-crowned Woodpecker,Leiopicus mahrattensis,Gelbscheitelspecht
Rufous-backed Sibia,Leioptila annectens,Rotrückensibia
Orange-crowned Warbler,Leiothlypis celata,Orangefleck-Waldsänger
Colima Warbler,Leiothlypis crissalis,Colimawaldsänger
Lucy's Warbler,Leiothlypis luciae,Rotbürzel-Waldsänger
Tennessee Warbler,Leiothlypis peregrina,Brauenwaldsänger
Nashville Warbler,Leiothlypis ruficapilla,Rubinfleck-Waldsänger
Virginia's Warbler,Leiothlypis virginiae,Gelbsteiß-Waldsänger
Silver-eared Mesia,Leiothrix argentauris,Silberohr-Sonnenvogel
Red-billed Leiothrix,Leiothrix lutea,Rotschnabel-Sonnenvogel
Peruvian Meadowlark,Leistes bellicosus,Weißschenkelstärling
Long-tailed Meadowlark,Leistes loyca,Langschwanzstärling
Red-breasted Meadowlark,Leistes militaris,Rotbruststärling
White-browed Meadowlark,Leistes superciliaris,Weißbrauenstärling
Spot-crowned Woodcreeper,Lepidocolaptes affinis,Perlkappen-Baumsteiger
Guianan Woodcreeper,Lepidocolaptes albolineatus,Kastanienscheitel-Baumsteiger
Narrow-billed Woodcreeper,Lepidocolaptes angustirostris,Hellbauch-Baumsteiger
Duida Woodcreeper,Lepidocolaptes duidae,Dunkelwangen-Baumsteiger
Scalloped Woodcreeper,Lepidocolaptes falcinellus,Dunkelkappen-Baumsteiger
Inambari Woodcreeper,Lepidocolaptes fatimalimae,Inambaribaumsteiger
Dusky-capped Woodcreeper,Lepidocolaptes fuscicapillus,Rondoniabaumsteiger
Montane Woodcreeper,Lepidocolaptes lacrymiger,Bergwald-Baumsteiger
White-striped Woodcreeper,Lepidocolaptes leucogaster,Weißstreifen-Baumsteiger
Streak-headed Woodcreeper,Lepidocolaptes souleyetii,Lanzettstrichel-Baumsteiger
Scaled Woodcreeper,Lepidocolaptes squamatus,Fleckenbauch-Baumsteiger
Blue-crowned Manakin,Lepidothrix coronata,Blauscheitelpipra
Opal-crowned Manakin,Lepidothrix iris,Opalscheitelpipra
Blue-rumped Manakin,Lepidothrix isidorei,Blaubürzelpipra
Snow-capped Manakin,Lepidothrix nattereri,Weißbürzelpipra
White-fronted Manakin,Lepidothrix serena,Weißstirnpipra
Orange-bellied Manakin,Lepidothrix suavissima,Orangebauchpipra
Plain-mantled Tit-Spinetail,Leptasthenura aegithaloides,Zimtspiegel-Meisenschlüpfer
Andean Tit-Spinetail,Leptasthenura andicola,Andenmeisenschlüpfer
Brown-capped Tit-Spinetail,Leptasthenura fuliginiceps,Braunkappen-Meisenschlüpfer
Rusty-crowned Tit-Spinetail,Leptasthenura pileata,Rostkappen-Meisenschlüpfer
Tufted Tit-Spinetail,Leptasthenura platensis,Haubenmeisenschlüpfer
Araucaria Tit-Spinetail,Leptasthenura setaria,Araukarienmeisenschlüpfer
Streaked Tit-Spinetail,Leptasthenura striata,Rostspiegel-Meisenschlüpfer
Striolated Tit-Spinetail,Leptasthenura striolata,Isabellstreifen-Meisenschlüpfer
White-browed Tit-Spinetail,Leptasthenura xenothorax,Graubauch-Meisenschlüpfer
Black Sunbird,Leptocoma aspasia,Seidennektarvogel
Van Hasselt's Sunbird,Leptocoma brasiliana,Blauglanz-Nektarvogel
Copper-throated Sunbird,Leptocoma calcostetha,Kupferkehl-Nektarvogel
Crimson-backed Sunbird,Leptocoma minima,Däumlingsnektarvogel
Purple-throated Sunbird,Leptocoma sperata,Purpurkehl-Nektarvogel
Purple-rumped Sunbird,Leptocoma zeylonica,Indiennektarvogel
Gray-headed Kite,Leptodon cayanensis,Cayenneweih
White-browed Tit-Warbler,Leptopoecile sophiae,Purpurhähnchen
Sepia-capped Flycatcher,Leptopogon amaurocephalus,Braunkappen-Laubtyrann
Rufous-breasted Flycatcher,Leptopogon rufipectus,Rostbrust-Laubtyrann
Slaty-capped Flycatcher,Leptopogon superciliaris,Schieferkappen-Laubtyrann
Inca Flycatcher,Leptopogon taczanowskii,Graugesicht-Laubtyrann
Marabou Stork,Leptoptilos crumenifer,Marabu
Golden-plumed Parakeet,Leptosittaca branickii,Pinselsittich
Cuckoo-roller,Leptosomus discolor,Kuckucksroller
Gray-chested Dove,Leptotila cassinii,Cassintaube
Tolima Dove,Leptotila conoveri,Tolimataube
Caribbean Dove,Leptotila jamaicensis,Jamaikataube
Large-tailed Dove,Leptotila megalura,Yungastaube
Ochre-bellied Dove,Leptotila ochraceiventris,Ockerbauchtaube
Pallid Dove,Leptotila pallida,Fahltaube
Gray-headed Dove,Leptotila plumbeiceps,Graukopftaube
Gray-fronted Dove,Leptotila rufaxilla,Rotachseltaube
White-tipped Dove,Leptotila verreauxi,Blauringtaube
Green-tailed Trainbearer,Lesbia nuna,Grünschwanzsylphe
Black-tailed Trainbearer,Lesbia victoriae,Schwarzschwanzsylphe
Buffy Hummingbird,Leucippus fallax,Zimtbrustkolibri
White-throated Hummingbird,Leucochloris albicollis,Weißkehlkolibri
Siberian Crane,Leucogeranus leucogeranus,Schneekranich
Violet-crowned Hummingbird,Leucolia violiceps,Veilchenscheitelamazilie
Laughing Gull,Leucophaeus atricilla,Aztekenmöwe
Gray Gull,Leucophaeus modestus,Graumöwe
Franklin's Gull,Leucophaeus pipixcan,Präriemöwe
Dolphin Gull,Leucophaeus scoresbii,Blutschnabelmöwe
White-browed Hawk,Leucopternis kuhli,Weißbrauenbussard
Black-faced Hawk,Leucopternis melanops,Zügelbussard
Semiplumbeous Hawk,Leucopternis semiplumbeus,Möwenbussard
Wonga Pigeon,Leucosarcia melanoleuca,Wongataube
Black Rosy-Finch,Leucosticte atrata,Rußschneegimpel
Brown-capped Rosy-Finch,Leucosticte australis,Coloradoschneegimpel
Gray-crowned Rosy-Finch,Leucosticte tephrocotis,Schwarzstirn-Schneegimpel
Lewin's Rail,Lewinia pectoralis,Krickralle
Slaty-breasted Rail,Lewinia striata,Graubrustralle
Purple-gaped Honeyeater,Lichenostomus cratitius,Purpurzügel-Honigfresser
Yellow-tufted Honeyeater,Lichenostomus melanops,Gelbstirn-Honigfresser
Dark-brown Honeyeater,Lichmera incana,Grauohr-Honigfresser
Brown Honeyeater,Lichmera indistincta,Braunhonigfresser
Indonesian Honeyeater,Lichmera limbata,Indonesian Honeyeater
White-tufted Honeyeater,Lichmera squamata,Schuppenbrust-Honigfresser
Straight-billed Reedhaunter,Limnoctites rectirostris,Grauscheitel-Riedschlüpfer
Sulphur-bearded Reedhaunter,Limnoctites sulphuriferus,Flügelspiegel-Riedschlüpfer
Short-billed Dowitcher,Limnodromus griseus,Moorschlammläufer
Long-billed Dowitcher,Limnodromus scolopaceus,Tundraschlammläufer
Asian Dowitcher,Limnodromus semipalmatus,Steppenschlammläufer
Curve-billed Reedhaunter,Limnornis curvirostris,Braunrücken-Riedschlüpfer
Swainson's Warbler,Limnothlypis swainsonii,Swainsonwaldsänger
Marbled Godwit,Limosa fedoa,Marmorschnepfe
Hudsonian Godwit,Limosa haemastica,Hudsonschnepfe
Bar-tailed Godwit,Limosa lapponica,Pfuhlschnepfe
Black-tailed Godwit,Limosa limosa,Uferschnepfe
Eurasian Linnet,Linaria cannabina,Bluthänfling
Twite,Linaria flavirostris,Berghänfling
Yemen Linnet,Linaria yemenensis,Jemenhänfling
Red-faced Liocichla,Liocichla phoenicea,Karminflügel-Bunthäherling
Scarlet-faced Liocichla,Liocichla ripponi,Rotgesicht-Bunthäherling
Steere's Liocichla,Liocichla steerii,Taiwanbunthäherling
Golden-breasted Fulvetta,Lioparus chrysotis,Goldgrasmücke
Rusty-belted Tapaculo,Liosceles thoracicus,Brustflecktapaculo
Black-and-gold Cotinga,Lipaugus ater,Goldflügelkotinga
Dusky Piha,Lipaugus fuscocinereus,Graukotinga
Cinnamon-vented Piha,Lipaugus lanioides,Graukopfkotinga
Rufous Piha,Lipaugus unirufus,Rötelkotinga
Screaming Piha,Lipaugus vociferans,Schreikotinga
Chestnut-capped Piha,Lipaugus weberi,Braunkappenkotinga
American Bullfrog,Lithobates catesbeianus,American Bullfrog
Green Frog,Lithobates clamitans,Green Frog
Pickerel Frog,Lithobates palustris,Pickerel Frog
Wood Frog,Lithobates sylvaticus,Wood Frog
Sharp-tailed Streamcreeper,Lochmias nematura,Flussuferschlüpfer
Taiwan Bush Warbler,Locustella alishanensis,Taiwanschwirl
Long-tailed Bush Warbler,Locustella caudata,Langschwanzschwirl
Baikal Bush Warbler,Locustella davidi,Davidschwirl
River Warbler,Locustella fluviatilis,Schlagschwirl
Lanceolated Warbler,Locustella lanceolata,Strichelschwirl
Savi's Warbler,Locustella luscinioides,Rohrschwirl
Brown Bush Warbler,Locustella luteoventris,Hodgsonschwirl
Russet Bush Warbler,Locustella mandelli,Mandellischwirl
Javan Bush Warbler,Locustella montis,Javaschwirl
Common Grasshopper-Warbler,Locustella naevia,Feldschwirl
Chinese Bush Warbler,Locustella tacsanowskia,Taczanowskischwirl
Spotted Bush Warbler,Locustella thoracica,Fleckenschwirl
Chestnut Munia,Lonchura atricapilla,Schwarzkappennonne
Chestnut-breasted Munia,Lonchura castaneothorax,Braunbrustnonne
Black-throated Munia,Lonchura kelaarti,Bergbronzemännchen
Javan Munia,Lonchura leucogastroides,Javabronzemännchen
White-headed Munia,Lonchura maja,Weißkopfnonne
Tricolored Munia,Lonchura malacca,Dreifarbnonne
Scaly-breasted Munia,Lonchura punctulata,Muskatbronzemännchen
White-rumped Munia,Lonchura striata,Spitzschwanz-Bronzemännchen
Long-crested Eagle,Lophaetus occipitalis,Schopfadler
Crowned Hornbill,Lophoceros alboterminatus,Kronentoko
Red-billed Dwarf Hornbill,Lophoceros camurus,Zwergtoko
African Pied Hornbill,Lophoceros fasciatus,Elstertoko
Hemprich's Hornbill,Lophoceros hemprichii,Hemprichtoko
African Gray Hornbill,Lophoceros nasutus,Grautoko
Pink Cockatoo,Lophochroa leadbeateri,Inkakakadu
Hooded Merganser,Lophodytes cucullatus,Kappensäger
Crested Duck,Lophonetta specularioides,Schopfente
Crested Tit,Lophophanes cristatus,Haubenmeise
Gray-crested Tit,Lophophanes dichrous,Grauhaubenmeise
Himalayan Monal,Lophophorus impejanus,Rostschwanz-Glanzfasan
Greater Lophorina,Lophorina superba,Pracht-Kragenparadiesvogel
Crested Owl,Lophostrix cristata,Haubenkauz
Long-crested Pygmy-Tyrant,Lophotriccus eulophotes,Weißbauch-Schuppenkopftyrann
Helmeted Pygmy-Tyrant,Lophotriccus galeatus,Helm-Schuppenkopftyrann
Scale-crested Pygmy-Tyrant,Lophotriccus pileatus,Rot-Schuppenkopftyrann
Double-banded Pygmy-Tyrant,Lophotriccus vitiosus,Grau-Schuppenkopftyrann
Rufous-bellied Eagle,Lophotriorchis kienerii,Rotbauchadler
Kalij Pheasant,Lophura leucomelanos,Kalifasan
Sri Lanka Hanging-Parrot,Loriculus beryllinus,Ceylonpapageichen
Blue-crowned Hanging-Parrot,Loriculus galgulus,Blaukronenpapageichen
Philippine Hanging-Parrot,Loriculus philippensis,Philippinenpapageichen
Vernal Hanging-Parrot,Loriculus vernalis,Frühlingspapageichen
Flame-crested Tanager,Loriotus cristatus,Feuerhaubentangare
White-shouldered Tanager,Loriotus luctuosus,Weißschulter-Haubentangare
Yellow-bibbed Lory,Lorius chlorocercus,Grünschwanzlori
Black-capped Lory,Lorius lory,Frauenlori
Red Crossbill,Loxia curvirostra,Fichtenkreuzschnabel
White-winged Crossbill,Loxia leucoptera,Bindenkreuzschnabel
Parrot Crossbill,Loxia pytyopsittacus,Kiefernkreuzschnabel
Scottish Crossbill,Loxia scotica,Schottlandkreuzschnabel
Cassia Crossbill,Loxia sinesciuris,Idahokreuzschnabel
Lesser Antillean Bullfinch,Loxigilla noctis,Rotkehl-Gimpeltangare
Palila,Loxioides bailleui,Schwarzmasken-Kleidervogel
Akekee,Loxops caeruleirostris,Kauai-Akepakleidervogel
Hawaii Akepa,Loxops coccineus,Hawaii-Akepakleidervogel
Hawaii Creeper,Loxops mana,Mana-Akepakleidervogel
Wood Lark,Lullula arborea,Heidelerche
Rufous-bellied Nighthawk,Lurocalis rufiventris,Andennachtschwalbe
Short-tailed Nighthawk,Lurocalis semitorquatus,Bändernachtschwalbe
Thrush Nightingale,Luscinia luscinia,Sprosser
Common Nightingale,Luscinia megarhynchos,Nachtigall
White-bellied Redstart,Luscinia phaenicuroides,Weißbauch-Rostschwanz
Bluethroat,Luscinia svecica,Blaukehlchen
Double-toothed Barbet,Lybius bidentatus,Doppelzahn-Bartvogel
Black-billed Barbet,Lybius guifsobalito,Purpurmasken-Bartvogel
Black-collared Barbet,Lybius torquatus,Halsband-Bartvogel
Vieillot's Barbet,Lybius vieilloti,Blutbrust-Bartvogel
Paradise-crow,Lycocorax pyrrhopterus,Molukkenparadieskrähe
Jack Snipe,Lymnocryptes minimus,Zwergschnepfe
Great Eared-Nightjar,Lyncornis macrotis,Riesennachtschwalbe
Malaysian Eared-Nightjar,Lyncornis temminckii,Temmincknachtschwalbe
Black Grouse,Lyrurus tetrix,Birkhuhn
Yellow-breasted Boatbill,Machaerirhynchus flaviventer,Gelbbauch-Flachschnabel
Black-breasted Boatbill,Machaerirhynchus nigripectus,Schwarzbrust-Flachschnabel
Club-winged Manakin,Machaeropterus deliciosus,Keulenschwingenpipra
Fiery-capped Manakin,Machaeropterus pyrocephalus,Feuerkopfpipra
Kinglet Manakin,Machaeropterus regulus,Streifenbauchpipra
Striolated Manakin,Machaeropterus striolatus,Rotbrustpipra
Bat Hawk,Macheiramphus alcinus,Fledermausadler
Cattle Tyrant,Machetornis rixosa,Graslandtyrann
Indian Yellow Tit,Machlolophus aplonotus,Indienkronenmeise
Taiwan Yellow Tit,Machlolophus holsti,Taiwanmeise
White-naped Tit,Machlolophus nuchalis,Weißflügelmeise
Yellow-cheeked Tit,Machlolophus spilonotus,Königsmeise
Himalayan Black-lored Tit,Machlolophus xanthogenys,Himalajakronenmeise
Large-tailed Antshrike,Mackenziaena leachii,Langschwanz-Ameisenwürger
Tufted Antshrike,Mackenziaena severa,Schwarzmasken-Ameisenwürger
Golden-tufted Grackle,Macroagelaius imthurni,Goldachselstärling
Mountain Grackle,Macroagelaius subalaris,Braunachselstärling
Fluffy-backed Tit-Babbler,Macronus ptilosus,Stachelrücken-Meisentimalie
Brown Tit-Babbler,Macronus striaticeps,Streifenkopf-Meisentimalie
Orange-throated Longclaw,Macronyx capensis,Kappieper
Yellow-throated Longclaw,Macronyx croceus,Gelbkehlpieper
Fülleborn's Longclaw,Macronyx fuelleborni,Füllebornpieper
Amboyna Cuckoo-Dove,Macropygia amboinensis,Kuckuckstaube
Sultan's Cuckoo-Dove,Macropygia doreya,Sultantaube
Mackinlay's Cuckoo-Dove,Macropygia mackinlayi,Mackinlaytaube
Brown Cuckoo-Dove,Macropygia phasianella,Maronentaube
Little Cuckoo-Dove,Macropygia ruficeps,Sundataube
Philippine Cuckoo-Dove,Macropygia tenuirostris,Philippinentaube
Barred Cuckoo-Dove,Macropygia unchall,Bindenschwanztaube
Gray Longbill,Macrosphenus concolor,Einfarb-Bülbülgrasmücke
Yellow Longbill,Macrosphenus flavicans,Gelbbauch-Bülbülgrasmücke
Kemp's Longbill,Macrosphenus kempi,Rostflanken-Bülbülgrasmücke
Anianiau,Magumma parva,Gelbkleidervogel
Abbott's Babbler,Malacocincla abbotti,Rotschwanz-Mausdrossling
Horsfield's Babbler,Malacocincla sepiaria,Horsfieldmausdrossling
Gray-headed Bushshrike,Malaconotus blanchoti,Graukopfwürger
Sooty-capped Babbler,Malacopteron affine,Schwarzscheitel-Zweigdrossling
Scaly-crowned Babbler,Malacopteron cinereum,Schuppenstirn-Zweigdrossling
Moustached Babbler,Malacopteron magnirostre,Bartstreif-Zweigdrossling
Rufous-crowned Babbler,Malacopteron magnum,Rotscheitel-Zweigdrossling
Black-streaked Puffbird,Malacoptila fulvogularis,Ockerkehl-Faulvogel
White-chested Puffbird,Malacoptila fusca,Weißbrust-Faulvogel
Moustached Puffbird,Malacoptila mystacalis,Schnurrbart-Faulvogel
White-whiskered Puffbird,Malacoptila panamensis,Weißzügel-Faulvogel
Rufous-necked Puffbird,Malacoptila rufa,Kapuzenfaulvogel
Semicollared Puffbird,Malacoptila semicincta,Halbring-Faulvogel
Crescent-chested Puffbird,Malacoptila striata,Halbmond-Faulvogel
Pink-eared Duck,Malacorhynchus membranaceus,Rosenohrente
Rufous-eared Warbler,Malcorus pectoralis,Rotohrsänger
Malia,Malia grata,Moossänger
Blue-billed Malimbe,Malimbus nitens,Rotkehlweber
McGregor's Cuckooshrike,Malindangia mcgregori,Spitzschwanz-Raupenfänger
White-shouldered Fairywren,Malurus alboscapulatus,Weißschulter-Staffelschwanz
Lovely Fairywren,Malurus amabilis,Schmuckstaffelschwanz
Purple-backed Fairywren,Malurus assimilis,Purpurrücken-Staffelschwanz
Superb Fairywren,Malurus cyaneus,Prachtstaffelschwanz
Emperor Fairywren,Malurus cyanocephalus,Kaiserstaffelschwanz
Red-winged Fairywren,Malurus elegans,Silberkopf-Staffelschwanz
Variegated Fairywren,Malurus lamberti,Weißbauch-Staffelschwanz
White-winged Fairywren,Malurus leucopterus,Weißflügel-Staffelschwanz
Red-backed Fairywren,Malurus melanocephalus,Rotrücken-Staffelschwanz
Splendid Fairywren,Malurus splendens,Türkisstaffelschwanz
Orange-collared Manakin,Manacus aurantiacus,Orangebandpipra
White-collared Manakin,Manacus candei,Weißbandpipra
White-bearded Manakin,Manacus manacus,Weißbrustpipra
Golden-collared Manakin,Manacus vitellinus,Goldbandpipra
Yellow-throated Miner,Manorina flavigula,Gelbstirn-Schwatzvogel
Noisy Miner,Manorina melanocephala,Weißstirn-Schwatzvogel
Bell Miner,Manorina melanophrys,Glockenhonigfresser
American Wigeon,Mareca americana,Kanadapfeifente
Falcated Duck,Mareca falcata,Sichelente
Eurasian Wigeon,Mareca penelope,Pfeifente
Chiloe Wigeon,Mareca sibilatrix,Chilepfeifente
Gadwall,Mareca strepera,Schnatterente
Pearly-eyed Thrasher,Margarops fuscatus,Perlaugen-Spottdrossel
Ruddy Treerunner,Margarornis rubiginosus,Rostbrust-Stachelschwanz
Pearled Treerunner,Margarornis squamiger,Tropfenbrust-Stachelschwanz
Golden-winged Manakin,Masius chrysopterus,Goldschwingenpipra
White-bellied Spinetail,Mazaria propinqua,Flussinsel-Dickichtschlüpfer
Buff-banded Tyrannulet,Mecocerculus hellmayri,Fahlbinden-Tachurityrann
White-throated Tyrannulet,Mecocerculus leucophrys,Weißkehl-Tachurityrann
Sulphur-bellied Tyrannulet,Mecocerculus minor,Gelbbauch-Tachurityrann
White-tailed Tyrannulet,Mecocerculus poecilocercus,Weißschwanz-Tachurityrann
White-banded Tyrannulet,Mecocerculus stictopterus,Weißbinden-Tachurityrann
Belted Kingfisher,Megaceryle alcyon,Gürtelfischer
Crested Kingfisher,Megaceryle lugubris,Haubenfischer
Giant Kingfisher,Megaceryle maxima,Riesenfischer
Ringed Kingfisher,Megaceryle torquata,Rotbrustfischer
Striated Grassbird,Megalurus palustris,Striated Grassbird
Tabon Scrubfowl,Megapodius cumingii,Philippinen-Großfußhuhn
Melanesian Scrubfowl,Megapodius eremita,Bismarck-Großfußhuhn
Dusky Scrubfowl,Megapodius freycinet,Molukken-Großfußhuhn
Orange-footed Scrubfowl,Megapodius reinwardt,Rotbein-Großfußhuhn
Boat-billed Flycatcher,Megarynchus pitangua,Starkschnabel-Maskentyrann
White-throated Screech-Owl,Megascops albogularis,Weißkehl-Kreischeule
Eastern Screech-Owl,Megascops asio,Ostkreischeule
Black-capped Screech-Owl,Megascops atricapilla,Kappenkreischeule
Choco Screech-Owl,Megascops centralis,Chocókreischeule
Tropical Screech-Owl,Megascops choliba,Tropenkreischeule
Bare-shanked Screech-Owl,Megascops clarkii,Nacktbein-Kreischeule
Pacific Screech-Owl,Megascops cooperi,Mangrovekreischeule
Santa Marta Screech-Owl,Megascops gilesi,Santa-Marta-Kreischeule
Middle American Screech-Owl,Megascops guatemalae,Rotgesicht-Kreischeule
Montane Forest Screech-Owl,Megascops hoyi,Hoykreischeule
Rufescent Screech-Owl,Megascops ingens,Rostkreischeule
Western Screech-Owl,Megascops kennicottii,Westkreischeule
Koepcke's Screech-Owl,Megascops koepckeae,Andenkreischeule
Cinnamon Screech-Owl,Megascops petersoni,Zimtkreischeule
Peruvian Screech-Owl,Megascops roboratus,Buschkreischeule
Foothill Screech-Owl,Megascops roraimae,Roraima-Kreischeule
Long-tufted Screech-Owl,Megascops sanctaecatarinae,Langohr-Kreischeule
Balsas Screech-Owl,Megascops seductus,Balsaskreischeule
Whiskered Screech-Owl,Megascops trichopsis,Fleckenkreischeule
Tawny-bellied Screech-Owl,Megascops watsonii,Watsonkreischeule
Pearly Antshrike,Megastictus margaritatus,Kurzschwanz-Ameisenwürger
Great Xenops,Megaxenops parnaguae,Zimtbaumspäher
Buff-rumped Woodpecker,Meiglyptes tristis,Wellenspecht
Buff-necked Woodpecker,Meiglyptes tukki,Tukkispecht
Northern Black-Flycatcher,Melaenornis edolioides,Senegaldrongoschnäpper
White-eyed Slaty-Flycatcher,Melaenornis fischeri,Bergdrongoschnäpper
Southern Black-Flycatcher,Melaenornis pammelaina,Glanzdrongoschnäpper
Fiscal Flycatcher,Melaenornis silens,Würgerschnäpper
Lesser Melampitta,Melampitta lugubris,Glanzflöter
Golden-fronted Woodpecker,Melanerpes aurifrons,Goldstirnspecht
White-fronted Woodpecker,Melanerpes cactorum,Kaktusspecht
White Woodpecker,Melanerpes candidus,Weißspecht
Red-bellied Woodpecker,Melanerpes carolinus,Carolinaspecht
Golden-naped Woodpecker,Melanerpes chrysauchen,Buntkopfspecht
Golden-cheeked Woodpecker,Melanerpes chrysogenys,Goldwangenspecht
Yellow-tufted Woodpecker,Melanerpes cruentatus,Gelbbrauenspecht
Red-headed Woodpecker,Melanerpes erythrocephalus,Rotkopfspecht
Yellow-fronted Woodpecker,Melanerpes flavifrons,Goldmaskenspecht
Acorn Woodpecker,Melanerpes formicivorus,Eichelspecht
Hoffmann's Woodpecker,Melanerpes hoffmannii,Hoffmannspecht
Gray-breasted Woodpecker,Melanerpes hypopolius,Fahlbrustspecht
Lewis's Woodpecker,Melanerpes lewis,Blutgesichtspecht
Puerto Rican Woodpecker,Melanerpes portoricensis,Puerto-Rico-Specht
Black-cheeked Woodpecker,Melanerpes pucherani,Schläfenfleckspecht
Yucatan Woodpecker,Melanerpes pygmaeus,Yucatánspecht
Jamaican Woodpecker,Melanerpes radiolatus,Jamaikaspecht
Red-crowned Woodpecker,Melanerpes rubricapillus,Rotkappenspecht
Hispaniolan Woodpecker,Melanerpes striatus,Haitispecht
West Indian Woodpecker,Melanerpes superciliaris,Bahamaspecht
Gila Woodpecker,Melanerpes uropygialis,Gilaspecht
Gray Tit,Melaniparus afer,Kaprußmeise
White-bellied Tit,Melaniparus albiventris,Weißbauch-Rußmeise
Ashy Tit,Melaniparus cinerascens,Akazienrußmeise
Dusky Tit,Melaniparus funereus,Einfarb-Rußmeise
White-winged Black-Tit,Melaniparus leucomelas,Weißflügel-Rußmeise
Southern Black-Tit,Melaniparus niger,Sambesi-Rußmeise
Rufous-bellied Tit,Melaniparus rufiventris,Rostbauch-Rußmeise
Somali Tit,Melaniparus thruppi,Somalirußmeise
Black Scoter,Melanitta americana,Pazifiktrauerente
Velvet Scoter,Melanitta fusca,Samtente
Common Scoter,Melanitta nigra,Trauerente
Surf Scoter,Melanitta perspicillata,Brillenente
Sultan Tit,Melanochlora sultanea,Sultansmeise
Calandra Lark,Melanocorypha calandra,Kalanderlerche
Tibetan Lark,Melanocorypha maxima,Sumpflerche
White-bridled Finch,Melanodera melanodera,Weißbart-Ammertangare
Yellow-bridled Finch,Melanodera xanthogramma,Gelbbart-Ammertangare
Hooded Robin,Melanodryas cucullata,Schwarzkopfschnäpper
Dusky Robin,Melanodryas vittata,Tasmanschnäpper
Elegant Crescentchest,Melanopareia elegans,Rotflügel-Bandvogel
Marañon Crescentchest,Melanopareia maranonica,Weißflügel-Bandvogel
Olive-crowned Crescentchest,Melanopareia maximiliani,Olivscheitel-Bandvogel
Collared Crescentchest,Melanopareia torquata,Rotnacken-Bandvogel
Black Catbird,Melanoptila glabrirostris,Glanzspottdrossel
Black Pitohui,Melanorectes nigrescens,Schwarzdickkopf
Black-faced Grassquit,Melanospiza bicolor,Jamaikagimpeltangare
Blue Mockingbird,Melanotis caerulescens,Blauspottdrossel
Blue-and-white Mockingbird,Melanotis hypoleucus,Lasurspottdrossel
Wild Turkey,Meleagris gallopavo,Truthuhn
Ocellated Turkey,Meleagris ocellata,Pfauentruthuhn
Makira Honeyeater,Meliarchus sclateri,Rostschwanz-Honigfresser
Belford's Melidectes,Melidectes belfordi,Belfordhonigfresser
Yellow-browed Melidectes,Melidectes rufocrissalis,Reichenowhonigfresser
Hook-billed Kingfisher,Melidora macrorrhina,Hakenliest
Lewin's Honeyeater,Meliphaga lewinii,Goldohr-Honigfresser
Yellow-spotted Honeyeater,Meliphaga notata,Torreshonigfresser
Black-headed Honeyeater,Melithreptus affinis,Schwarzkopf-Honigfresser
White-throated Honeyeater,Melithreptus albogularis,Weißkehl-Honigfresser
Brown-headed Honeyeater,Melithreptus brevirostris,Braunkopf-Honigfresser
Gilbert's Honeyeater,Melithreptus chloropsis,Weißbrauen-Honigfresser
Black-chinned Honeyeater,Melithreptus gularis,Schwarzkinn-Honigfresser
White-naped Honeyeater,Melithreptus lunatus,Mondstreif-Honigfresser
Strong-billed Honeyeater,Melithreptus validirostris,Starkschnabel-Honigfresser
Bee Hummingbird,Mellisuga helenae,Bienenelfe
Vervain Hummingbird,Mellisuga minima,Zwergelfe
Moustached Grass-Warbler,Melocichla mentalis,Bart-Bülbülgrasmücke
Budgerigar,Melopsittacus undulatus,Wellensittich
Puerto Rican Bullfinch,Melopyrrha portoricensis,Rotkopf-Gimpeltangare
Greater Antillean Bullfinch,Melopyrrha violacea,Rotbrauen-Gimpeltangare
Swamp Sparrow,Melospiza georgiana,Sumpfammer
Lincoln's Sparrow,Melospiza lincolnii,Lincolnammer
Song Sparrow,Melospiza melodia,Singammer
Abert's Towhee,Melozone aberti,Schwarzkinn-Grundammer
White-throated Towhee,Melozone albicollis,Weißkehl-Grundammer
